id,url,title,price,address,zip_code,municipality,latitude,longitude,property_type,subtype,transaction_type,living_area_m2,plot_area_m2,garden,garden_area_m2,terrace,terrace_area_m2,bedrooms,bathrooms,epc_score,epc_kwh_m2,construction_year,condition,heating_type,parking_indoor,parking_outdoor,elevator,furnished,flood_zone,cadastral_income,agency,status,old_price,listed_date,last_modified,view_count,bookmark_count,floor,floor_count,facade_count,double_glazing,monthly_costs,heritage_protected,renovation_obligation,photo_count,photo_url,kitchen_type,living_room_m2,garden_orientation,terrace_orientation,balcony,attic,basement,fireplace,swimming_pool,air_conditioning,solar_panels,heat_pump,carbon_emission,toilets,first_occupation,vat_applicable,public_sale,life_annuity,detail_scraped,first_seen,last_seen,active,disappeared_date,scrape_date
21640723,https://www.immoweb.be/en/classified/21640723,Apartment for rent in Gent,1620,Lange Kruisstraat 7,9000,Gent,51.05258809999999,3.726092,apartment,apartment,for-rent,95,,,,True,,2,1,A,64,2017,GOOD,GAS,,,True,,NON_FLOOD_ZONE,,LANDBERGH,new,,2026-06-12T16:03:50.515Z,2026-06-23T18:39:06.846Z,570,13,2,4,,True,0,,False,15,https://media-resize.immowebstatic.be/classifieds/4777b607-e1a7-4a78-8229-ac222dac48d9/736x736/878be03e37958709c0a3a64e3bcce76a.jpg,INSTALLED,,,,,,,False,,,False,False,,1,,,False,False,2026-06-24,2026-06-12,2026-06-24,True,,2026-06-24
21640069,https://www.immoweb.be/en/classified/21640069,Apartment for rent in Ghent,700,Brusselsepoortstraat 16,9000,Ghent,51.0438233,3.7365517,apartment,apartment,for-rent,100,,,,True,7,2,1,A+,,1968,,,,1,True,True,NON_FLOOD_ZONE,,PRIVATE,new,,,2026-06-12T13:45:23.644Z,,,,,,,,,,4,https://media-resize.immowebstatic.be/classifieds/c4daba91-3dd6-4f00-9d72-78a138dbc658/736x736/a702e43c72d37aa6939a0caa993f4ba3.jpg,,,,,,,,,,,,,,,,,,,,2026-06-12,2026-06-14,False,2026-06-20,2026-06-14
21639920,https://www.immoweb.be/en/classified/21639920,Apartment for rent in Ghent,520,Oudburg 56,9000,Ghent,51.05852369999999,3.7244729,apartment,apartment,for-rent,,,,,,,2,,A,,,,,1,1,True,True,,,PRIVATE,new,,,2026-06-12T13:28:12.309Z,,,,,,,,,,3,https://media-resize.immowebstatic.be/classifieds/df02c505-3504-40ff-963c-d6206ba23991/736x736/b7cc8d5dc0d3417443fbfe1526427668.jpg,,,,,,,,,,,,,,,,,,,,2026-06-12,2026-06-14,False,2026-06-20,2026-06-14
21639468,https://www.immoweb.be/en/classified/21639468,Flat_studio for rent in Gent,510,Martelaarslaan 264,9000,Gent,51.0473559,3.7108897,apartment,flat_studio,for-rent,35,,,,,,0,1,C,280,1997,AS_NEW,,,,False,False,,,Agence Rosseel,new,,2026-06-12T11:57:08.847Z,2026-06-12T13:57:09.220Z,2072,75,1,,,False,,,False,6,https://media-resize.immowebstatic.be/classifieds/74be0cc4-f0d5-4bc4-be81-adb2c57c9d7f/736x736/f8bbc4148e4a31fdda56b67ac2058b1e.jpg,,,,,,,,False,,False,,,,1,,,False,False,2026-06-24,2026-06-12,2026-06-24,True,,2026-06-24
21639336,https://www.immoweb.be/en/classified/21639336,Apartment for rent in Gent,1850,Filips De Goedekaai 82,9000,Gent,51.0360813,3.7326778,apartment,apartment,for-rent,205,,,,True,1,3,2,B,165,,,,1,,True,False,,,PRIVATE,new,,2026-06-12T11:30:20.545Z,2026-06-16T05:16:44.819Z,493,6,3,,,False,150,,False,17,https://media-resize.immowebstatic.be/classifieds/a53c17dc-b718-4d4f-ba86-673b65dfdd71/736x736/0d5c63042202bfcfa5f71ffea0488de2.jpg,INSTALLED,,,,,,,False,False,False,False,False,,3,,,False,False,2026-06-24,2026-06-12,2026-06-24,True,,2026-06-24
21639091,https://www.immoweb.be/en/classified/21639091,Apartment for rent in GENT,900,Lange Violettestraat 72,9000,GENT,51.04720769999999,3.7341041,apartment,apartment,for-rent,75,,,,,,2,1,B,135,,GOOD,GAS,1,,False,False,NON_FLOOD_ZONE,,de Fooz,new,,2026-06-12T10:05:58.301Z,2026-06-14T01:09:20.023Z,2269,114,1,2,2,True,60,,False,4,https://media-resize.immowebstatic.be/classifieds/38a21c9b-a38c-4534-ab5c-ecd05fd40167/736x736/9c544a259822a41d91e4b27cd3885fdd.jpg,INSTALLED,25,,,,,,False,False,False,False,False,,1,,,False,False,2026-06-20,2026-06-12,2026-06-23,False,2026-06-24,2026-06-23
21639020,https://www.immoweb.be/en/classified/21639020,Apartment for rent in Gent,1270,Koopvaardijlaan 3,9000,Gent,51.0579619,3.7396654,apartment,apartment,for-rent,86,,,,True,,2,1,,,2026,AS_NEW,,,1,,,,,Vastgoed Ongenaet,new,,2026-06-12T10:04:04.699Z,2026-06-21T18:24:57.810Z,617,22,7,,,,0,,,4,https://media-resize.immowebstatic.be/classifieds/2cf06e7e-9e26-4bc0-b09a-36843f238138/736x736/bd37f0f3e641c581c5ca3071dafa2523.jpg,,,,,,,,False,,,False,False,,0,,,False,False,2026-06-20,2026-06-12,2026-06-22,False,2026-06-23,2026-06-22
21638974,https://www.immoweb.be/en/classified/21638974,Flat_studio for rent in Gent,890,Sint-Machariusstraat 19,9000,Gent,51.0549668,3.7360701,apartment,flat_studio,for-rent,29,,,,,,0,0,B,,,,,,,,,NON_FLOOD_ZONE,,Vastgoed Vandermarliere,new,,2026-06-12T10:02:14.035Z,2026-06-21T18:51:34.251Z,308,10,2,2,,,0,,False,4,https://media-resize.immowebstatic.be/classifieds/a6236f5c-7ed6-460b-bbc3-1b6da7a77215/736x736/2e543bfc7ce425a153278594b3b29eec.jpg,,,,,,,,False,,,False,False,,0,,,False,False,2026-06-20,2026-06-12,2026-06-22,False,2026-06-23,2026-06-22
21638793,https://www.immoweb.be/en/classified/21638793,Apartment for rent in Gent,1100,Chocoladesteeg 18,9000,Gent,51.0752773,3.7295817,apartment,apartment,for-rent,94,,,,True,,2,1,B,,1965,,GAS,,,False,,NON_FLOOD_ZONE,,PRIVATE,new,,2026-06-12T09:21:26.861Z,2026-06-23T19:25:52.880Z,936,23,2,2,,False,,,False,12,https://media-resize.immowebstatic.be/classifieds/291b3d4b-3e39-43f8-9a3b-941c9409c1b6/736x736/bb3dd863a7c55220b343876ee41d3aef.jpg,,,,,,,True,False,False,False,False,False,,1,,,False,False,2026-06-24,2026-06-12,2026-06-24,True,,2026-06-24
21612536,https://www.immoweb.be/en/classified/21612536,Apartment for rent in Sint-Denijs-Westrem,1085,Jean-Baptiste de Ghellincklaan 31,9051,Sint-Denijs-Westrem,51.021522,3.6784403,apartment,apartment,for-rent,85,,,,True,,2,1,A,,2023,AS_NEW,GAS,,,True,,,,Crevits,new,,2026-06-12T08:04:13.094Z,2026-06-20T19:29:59.456Z,1035,40,1,3,,True,80,,False,4,https://media-resize.immowebstatic.be/classifieds/7ccf6043-894d-4d63-a143-f940d935d13e/736x736/9ec8d62db267d238dab98c10b6a1bd90.jpg,,,,,,,,False,,,False,False,,1,,,False,False,2026-06-20,2026-06-12,2026-06-21,False,2026-06-22,2026-06-21
