id,url,title,price,address,zip_code,municipality,latitude,longitude,property_type,subtype,transaction_type,living_area_m2,plot_area_m2,garden,garden_area_m2,terrace,terrace_area_m2,bedrooms,bathrooms,epc_score,epc_kwh_m2,construction_year,condition,heating_type,parking_indoor,parking_outdoor,elevator,furnished,flood_zone,cadastral_income,agency,status,old_price,listed_date,last_modified,view_count,bookmark_count,floor,floor_count,facade_count,double_glazing,monthly_costs,heritage_protected,renovation_obligation,photo_count,photo_url,kitchen_type,living_room_m2,garden_orientation,terrace_orientation,balcony,attic,basement,fireplace,swimming_pool,air_conditioning,solar_panels,heat_pump,carbon_emission,toilets,first_occupation,vat_applicable,public_sale,life_annuity,detail_scraped,first_seen,last_seen,active,disappeared_date,scrape_date
21585308,https://www.immoweb.be/en/classified/21585308,Apartment for sale in Gent,855000,Sint-Michielsplein 7,9000,Gent,51.0533927,3.7188875,apartment,apartment,for-sale,171,,,,True,8,3,2,B,133,,JUST_RENOVATED,,,,True,,NON_FLOOD_ZONE,,Carlo Eggermont,,,2026-05-21T14:04:46.008Z,2026-07-03T09:38:28.223Z,1828,28,1,3,,,0,,False,4,https://media-resize.immowebstatic.be/classifieds/97e6e8db-f06a-4448-ade5-1e98a53341bc/736x736/a410f0580ea52f4e2a611c040e32fc87.jpg,,,,,,,,False,,,False,False,,2,,False,False,False,2026-07-01,2026-06-12,2026-07-08,False,2026-07-09,2026-07-08
21640795,https://www.immoweb.be/en/classified/21640795,Apartment for sale in GENT,365000,Brabantdam 76,9000,GENT,51.0499392,3.7299943,apartment,apartment,for-sale,57,,,,True,4,1,1,B,129,1930,GOOD,GAS,,,True,False,NON_FLOOD_ZONE,774,de Fooz,new,,2026-06-12T16:38:16.579Z,2026-07-20T17:23:27.174Z,385,10,3,4,2,True,,,False,4,https://media-resize.immowebstatic.be/classifieds/405d3d57-80e8-461b-a15d-33e834d15d74/736x736/c5666ce04d25127c06b28e58ed6f2256.jpg,INSTALLED,30,,,,,True,False,False,False,False,False,,1,,False,False,False,2026-08-13,2026-06-12,2026-08-22,True,,2026-08-22
21640735,https://www.immoweb.be/en/classified/21640735,Apartment_group for sale in Gent,,Raymonde de Larochelaan 1,9000,Gent,51.02744509999999,3.6968157,apartment_group,apartment_group,for-sale,,,,,,,,,,,,,,,,,,,,LANDBERGH,new,,2026-06-12T16:04:24.198Z,2026-06-23T18:14:58.495Z,198,2,,,,,,,,4,https://media-resize.immowebstatic.be/classifieds/97af3508-468c-4762-a907-4c1f4ee5445c/736x736/297172053f45b5e73f1f4b71778e5bd1.jpg,,,,,,,,False,,,,,,,,False,False,False,2026-06-20,2026-06-12,2026-06-24,False,2026-06-25,2026-06-24
21640690,https://www.immoweb.be/en/classified/21640690,Apartment for sale in Gent,510000,Remi Vlerickstraat 18,9000,Gent,51.0004135,3.714664199999999,apartment,apartment,for-sale,119,,,,True,11,2,1,,,2026,,,,,True,False,POSSIBLE_FLOOD_ZONE,,LANDBERGH,new,,2026-06-12T16:02:17.188Z,2026-06-21T18:41:53.512Z,72,1,1,2,,True,0,,,4,https://media-resize.immowebstatic.be/classifieds/e5c28f6c-58d4-4465-8e3d-75947d43da55/736x736/7b9dc087fbfad4878b1f84309d3f1a5e.jpg,INSTALLED,28,,,,,,False,,,True,True,,1,,True,False,False,2026-06-20,2026-06-12,2026-06-23,False,2026-06-24,2026-06-23
21640687,https://www.immoweb.be/en/classified/21640687,Apartment for sale in Gent,460000,Remi Vlerickstraat 18,9000,Gent,51.0004135,3.714664199999999,apartment,apartment,for-sale,110,,,,True,15,2,1,,,2026,,,,,True,False,POSSIBLE_FLOOD_ZONE,,LANDBERGH,new,,2026-06-12T16:02:12.941Z,2026-06-28T18:27:09.968Z,83,0,1,2,,True,0,,,4,https://media-resize.immowebstatic.be/classifieds/c0dd0482-1155-4160-9e2f-be218a671c38/736x736/4be501ea56aba620b71f1bc5364b9696.jpg,INSTALLED,21,,,,,,False,,,True,True,,1,,True,False,False,2026-06-20,2026-06-12,2026-06-29,False,2026-06-30,2026-06-29
21640684,https://www.immoweb.be/en/classified/21640684,Apartment for sale in Gent,515000,Rasphuisstraat 1,9000,Gent,51.0549556,3.7125378,apartment,apartment,for-sale,117,,,,True,11,3,1,B,195,,JUST_RENOVATED,GAS,,,,False,NON_FLOOD_ZONE,,Carlo Eggermont,new,,2026-06-12T16:02:10.124Z,2026-06-28T19:24:34.871Z,642,13,1,,,,0,,False,4,https://media-resize.immowebstatic.be/classifieds/9f0dd170-3397-4d41-8007-2508c7d5df2c/736x736/75e661e0490fe3fd0128b92ca1994ac3.jpg,,,,,,,,False,,,False,False,,1,,False,False,False,2026-06-20,2026-06-12,2026-06-30,False,2026-07-01,2026-06-30
21640675,https://www.immoweb.be/en/classified/21640675,Apartment for sale in Gent,930000,Dok-Noord 3,9000,Gent,51.06534749999999,3.7339625,apartment,apartment,for-sale,163,,,,,,3,,,,,,,,,,,,,LANDBERGH,new,,,2026-06-17T18:44:45.355Z,,,,,,,,,,4,https://media-resize.immowebstatic.be/classifieds/86e32016-964c-41fb-917c-f3f55ecf9c22/736x736/838b735c8966de9f5466571023733853.jpg,,,,,,,,,,,,,,,,,,,,2026-06-12,2026-06-18,False,2026-06-20,2026-06-18
21640665,https://www.immoweb.be/en/classified/21640665,Apartment for sale in Gent,575000,Dok-Noord 3,9000,Gent,51.06534749999999,3.7339625,apartment,apartment,for-sale,143,,,,,,4,,,,,,,,,,,,,LANDBERGH,new,,,2026-06-17T18:44:43.427Z,,,,,,,,,,4,https://media-resize.immowebstatic.be/classifieds/e3a53bc3-4bcc-4a6f-bd82-0e012183b0c8/736x736/edf74813a395896cb3680e65ad8310bb.jpg,,,,,,,,,,,,,,,,,,,,2026-06-12,2026-06-18,False,2026-06-20,2026-06-18
21640662,https://www.immoweb.be/en/classified/21640662,Apartment for sale in Gent,595000,Remi Vlerickstraat 18,9000,Gent,51.0004135,3.714664199999999,apartment,apartment,for-sale,146,,True,72,True,30,3,1,,,2026,,,,,True,False,POSSIBLE_FLOOD_ZONE,,LANDBERGH,new,,2026-06-12T16:01:03.458Z,2026-06-21T18:41:49.372Z,87,0,0,2,,True,0,,,4,https://media-resize.immowebstatic.be/classifieds/c8f01740-1cf9-4086-9217-c66f3a7982ff/736x736/2dd9a61a7addda7b3be574ce438d3de1.jpg,INSTALLED,32,SOUTH_WEST,,,,,False,,,True,True,,1,,True,False,False,2026-06-20,2026-06-12,2026-06-23,False,2026-06-24,2026-06-23
21640652,https://www.immoweb.be/en/classified/21640652,Apartment for sale in Gent,485000,Dok-Noord 3,9000,Gent,51.06534749999999,3.7339625,apartment,apartment,for-sale,108,,,,,,2,,,,,,,,,,,,,LANDBERGH,new,,,2026-06-17T18:44:41.254Z,,,,,,,,,,4,https://media-resize.immowebstatic.be/classifieds/b04c585d-9910-4252-884c-84947b0b6fa3/736x736/49d8308a835336611e8c264c4534c6a5.jpg,,,,,,,,,,,,,,,,,,,,2026-06-12,2026-06-18,False,2026-06-20,2026-06-18
