id,url,title,price,address,zip_code,municipality,latitude,longitude,property_type,subtype,transaction_type,living_area_m2,plot_area_m2,garden,garden_area_m2,terrace,terrace_area_m2,bedrooms,bathrooms,epc_score,epc_kwh_m2,construction_year,condition,heating_type,parking_indoor,parking_outdoor,elevator,furnished,flood_zone,cadastral_income,agency,status,old_price,listed_date,last_modified,view_count,bookmark_count,floor,floor_count,facade_count,double_glazing,monthly_costs,heritage_protected,renovation_obligation,photo_count,photo_url,kitchen_type,living_room_m2,garden_orientation,terrace_orientation,balcony,attic,basement,fireplace,swimming_pool,air_conditioning,solar_panels,heat_pump,carbon_emission,toilets,first_occupation,vat_applicable,public_sale,life_annuity,detail_scraped,first_seen,last_seen,active,disappeared_date,scrape_date
21640759,https://www.immoweb.be/en/classified/21640759,Country_cottage for rent in Gent,1100,Broekstraat 29,9030,Gent,51.0834314,3.6771303,house,country_cottage,for-rent,,800,True,500,,,5,1,B,,,GOOD,GAS,2,2,False,,NON_FLOOD_ZONE,,PRIVATE,new,,2026-06-12T16:10:31.784Z,2026-06-17T20:27:12.549Z,2950,53,,2,4,True,,,False,16,https://media-resize.immowebstatic.be/classifieds/ef4ba2b4-19e2-4435-ae21-029bc94f5670/736x736/8babe5f73149c16ed3930fb652c15cbb.jpg,INSTALLED,,,,,,,False,False,False,False,False,,2,,,False,False,2026-06-26,2026-06-12,2026-06-26,False,2026-06-27,2026-06-26
21640579,https://www.immoweb.be/en/classified/21640579,House for rent in Gent,1100,Kikvorsstraat 134,9000,Gent,51.0240586,3.716649,house,house,for-rent,110,90,,,True,20,2,1,,,,GOOD,,,2,,,NON_FLOOD_ZONE,,PRIVATE,under_option,,2026-06-12T15:29:52.539Z,2026-06-13T20:12:18.519Z,1879,54,,,3,True,,,,20,https://media-resize.immowebstatic.be/classifieds/0cb12962-6f58-4d25-b3d7-cdced1734996/736x736/3a42018b673052f499e9bc516ff15c26.jpg,INSTALLED,28,,,,True,,False,,,,,,2,,,False,False,2026-06-27,2026-06-12,2026-06-27,True,,2026-06-27
21638745,https://www.immoweb.be/en/classified/21638745,House for rent in Gent,995,Dendermondsesteenweg 67,9000,Gent,51.0551452,3.743026,house,house,for-rent,85,43,,,True,8,2,1,C,230,,AS_NEW,,,,False,False,NON_FLOOD_ZONE,,VICUS,new,,,2026-06-12T09:06:05.900Z,,,,,,,,,,4,https://media-resize.immowebstatic.be/classifieds/830846dd-85af-43d7-a3b9-790171d4ed73/736x736/f9e54d73b7cbdc6775a65bc27e223297.jpg,,,,,,,,,,,,,,,,,,,,2026-06-12,2026-06-14,False,2026-06-20,2026-06-14
21625599,https://www.immoweb.be/en/classified/21625599,House for rent in GENT,970,Hazelaarstraat 4,9000,GENT,51.0621837,3.7012085,house,house,for-rent,80,0,,,,,2,,,,,,,,,,,,,CENTURY 21 Woonkantoor,new,,,2026-06-14T02:32:08.951Z,,,,,,,,,,4,https://media-resize.immowebstatic.be/classifieds/af5358dd-1a80-4175-b929-522413dc8d97/736x736/87294979124d877638e603fb17c045b2.jpg,,,,,,,,,,,,,,,,,,,,2026-06-12,2026-06-18,False,2026-06-20,2026-06-18
21638531,https://www.immoweb.be/en/classified/21638531,House for rent in Gent,1250,Geldmunt 56 58,9000,Gent,51.058273,3.7211226,house,house,for-rent,,0,,,,,3,2,C,203,,,,,,False,False,,,I-MOOV,new,,2026-06-12T08:07:08.146Z,2026-06-18T08:07:10.803Z,1442,39,,,4,False,,,False,30,https://media-resize.immowebstatic.be/classifieds/239ddbf3-e9a5-4ebd-898d-b2604f24c8ec/736x736/5c9f1a66eda2c786b3d9fe5f7b8b9e56.jpg,,,,,,,,False,,False,,,,0,,,False,False,2026-06-23,2026-06-12,2026-06-23,False,2026-06-24,2026-06-23
21638517,https://www.immoweb.be/en/classified/21638517,House for rent in Gent Ledeberg,1450,Hoveniersstraat 97,9050,Gent Ledeberg,51.0377617,3.7458983,house,house,for-rent,175,60,,,True,10,4,1,B,161,1895,AS_NEW,GAS,,,False,False,NON_FLOOD_ZONE,,Immo Da Vinci,new,,2026-06-12T08:05:11.043Z,2026-06-12T08:05:13.812Z,1743,37,,3,3,True,,,False,20,https://media-resize.immowebstatic.be/classifieds/4d8fd88b-cbd9-4ccb-8a06-907eeb22311a/736x736/49214c35c8cc290d04e4fe2f3bc451a1.jpg,HYPER_EQUIPPED,12,,NORTH,,,True,False,False,,,,5490,2,,,False,False,2026-06-27,2026-06-12,2026-06-27,True,,2026-06-27
21638265,https://www.immoweb.be/en/classified/21638265,Bungalow for rent in Gent,1350,Magergoedhof 3,9041,Gent,51.0977033,3.782289,house,bungalow,for-rent,245,829,,,,,2,1,C,264,1996,,GAS,1,,False,False,NON_FLOOD_ZONE,,ERA Rental,new,,2026-06-12T07:34:12.783Z,2026-06-12T09:04:47.168Z,1106,28,,,4,True,0,,,16,https://media-resize.immowebstatic.be/classifieds/c0baad12-a749-4bc2-b161-aaf1c800dd36/736x736/1b66e13349cd66dd6b029437b56fa55c.jpg,,,,,,,,False,False,,False,False,,,,,False,False,2026-06-27,2026-06-12,2026-06-27,True,,2026-06-27
21637642,https://www.immoweb.be/en/classified/21637642,House for rent in Wondelgem,1395,Liefbilkstraat 11,9032,Wondelgem,51.0811978,3.7139429,house,house,for-rent,,0,,,True,,3,1,B,124,2009,GOOD,GAS,,1,,False,,,Bouw Francis Bostoen,new,,2026-06-11T16:04:57.831Z,2026-06-26T18:52:36.015Z,918,18,,,,True,0,,False,12,https://media-resize.immowebstatic.be/classifieds/0574173e-dfbb-44c0-aabc-b39b0b123232/736x736/6a56d85353fe24a12cd2b50f2fd9c27e.jpg,INSTALLED,,,,,True,,False,,,False,False,,2,,,False,False,2026-06-27,2026-06-12,2026-06-27,True,,2026-06-27
21637417,https://www.immoweb.be/en/classified/21637417,House for rent in Gent,1475,Frank Baurstraat 19,9000,Gent,51.0280058,3.7285399,house,house,for-rent,,0,True,50,,,4,1,C,246,,AS_NEW,GAS,,,False,,NON_FLOOD_ZONE,,PRIVATE,new,,2026-06-11T15:23:11.620Z,2026-06-23T07:55:57.960Z,1543,48,,2,2,True,,,False,16,https://media-resize.immowebstatic.be/classifieds/26865cbd-8ab4-40d4-bc3c-7781c61c3671/736x736/0c9194859132035586567bcb7977d6d1.jpg,,,SOUTH_EAST,,,,,False,False,False,False,False,,,,,False,False,2026-06-27,2026-06-12,2026-06-27,True,,2026-06-27
21621575,https://www.immoweb.be/en/classified/21621575,House for rent in Gent,1375,Henri Mortierstraat 6,9050,Gent,51.0403166,3.7494734,house,house,for-rent,135,0,,,,,4,,,,,,,,,,,,,FREGIS,new,,,2026-06-11T14:14:07.725Z,,,,,,,,,,4,https://media-resize.immowebstatic.be/classifieds/185239b8-c069-412f-850f-cd20dcd24118/736x736/a5eb47b2c404fc82add84013cf0a870c.jpg,,,,,,,,,,,,,,,,,,,,2026-06-12,2026-06-17,False,2026-06-20,2026-06-17
21637130,https://www.immoweb.be/en/classified/21637130,House for rent in Ledeberg,980,,9050,Ledeberg,,,house,house,for-rent,98,75,,,,,3,1,B,172,,GOOD,GAS,,,,,,,EDM Woonadvies,new,,2026-06-11T14:12:04.689Z,2026-06-22T18:28:06.664Z,1448,56,,,,True,0,,False,14,https://media-resize.immowebstatic.be/classifieds/d12239b3-ca91-4c65-a9b4-2955545568b5/736x736/0e3e07813ddb251921563490c82bc021.jpg,,32,,,,,,False,,,False,False,,1,,,False,False,2026-06-23,2026-06-12,2026-06-23,False,2026-06-24,2026-06-23
21637127,https://www.immoweb.be/en/classified/21637127,House for rent in Gentbrugge,1350,Keiberg 7,9050,Gentbrugge,51.0318424,3.7638127,house,house,for-rent,,0,,,,,0,0,B,176,,,,,,False,False,,,Makelaarshuys,new,,2026-06-11T14:10:10.170Z,2026-06-11T16:09:08.138Z,509,9,,,2,False,,,False,15,https://media-resize.immowebstatic.be/classifieds/6c701db6-5b84-4843-956f-2dcd288cf8a6/736x736/a9f1d23f673b9c616c4f3fee272716d1.jpg,,,,,,,,False,,False,,,,0,,,False,False,2026-06-21,2026-06-12,2026-06-21,False,2026-06-22,2026-06-21
21636866,https://www.immoweb.be/en/classified/21636866,House for rent in Gent,1400,Olijfstraat 78,9000,Gent,51.0643115,3.699919,house,house,for-rent,,0,,,True,21,3,1,B,,,JUST_RENOVATED,GAS,,,False,,NON_FLOOD_ZONE,,PRIVATE,new,,2026-06-11T13:17:52.599Z,2026-06-11T14:05:36.576Z,1182,41,,3,1,True,,,False,17,https://media-resize.immowebstatic.be/classifieds/80711e70-f10e-48c4-a811-1490c3f95d43/736x736/562b425c10cc63855b94e368c7f6e632.jpg,INSTALLED,32,,,,,,False,False,False,False,False,,1,,,False,False,2026-06-27,2026-06-12,2026-06-27,True,,2026-06-27
21636239,https://www.immoweb.be/en/classified/21636239,House for rent in Gent,1250,Achterstraat 192,9040,Gent,51.06360850000001,3.7527077,house,house,for-rent,,107,,,,,3,1,B,,,,GAS,,,False,,NON_FLOOD_ZONE,,PRIVATE,new,,2026-06-11T10:33:39.891Z,2026-06-11T10:35:00.028Z,806,10,,,2,False,,,False,10,https://media-resize.immowebstatic.be/classifieds/81fa3672-deda-453f-adaf-ec3866076f39/736x736/ae23474cfa44860cfe6baaf959a96ef5.jpg,,,,,,,,False,False,False,False,False,,1,,,False,False,2026-06-27,2026-06-12,2026-06-27,True,,2026-06-27
21635977,https://www.immoweb.be/en/classified/21635977,House for rent in Gent,1475,Wazenaarstraat 11,9050,Gent,51.0410613,3.745473,house,house,for-rent,196,0,,,True,,3,1,B,149,,GOOD,GAS,,,False,False,NON_FLOOD_ZONE,,Vastgoed De Vos Evergem,new,,2026-06-11T09:36:48.710Z,2026-06-11T09:36:52.764Z,781,24,,2,,,,,False,19,https://media-resize.immowebstatic.be/classifieds/7d9de04f-37e7-4c6f-b1a0-36d790589f0b/736x736/e0a343f80ffa2b03afae0fdefa1edf25.jpg,,,,,,True,,False,False,,,,,,,,False,False,2026-06-27,2026-06-12,2026-06-27,True,,2026-06-27
21635596,https://www.immoweb.be/en/classified/21635596,House for rent in Gent,1700,Maaltebruggestraat 286,9000,Gent,51.0262375,3.7067015,house,house,for-rent,137,232,,,True,13,3,1,A++,,2023,AS_NEW,ELECTRIC,,1,False,,NON_FLOOD_ZONE,,PRIVATE,new,,2026-06-11T07:56:11.577Z,2026-06-17T14:34:13.163Z,1154,19,,1,1,True,50,,True,26,https://media-resize.immowebstatic.be/classifieds/962be0d5-7814-4109-a69b-e49e2ba5aa1c/736x736/ee0f5af90418d801631f0d96dd4ce1a5.jpg,HYPER_EQUIPPED,31,,SOUTH_WEST,,,,False,False,True,False,True,,2,,,False,False,2026-06-27,2026-06-12,2026-06-27,True,,2026-06-27
21634977,https://www.immoweb.be/en/classified/21634977,House for rent in Gent,860,Ijskelderstraat 39,9000,Gent,51.0622038,3.7090355,house,house,for-rent,70,0,,,True,5,2,1,B,220,,GOOD,GAS,,,False,,,,PRIVATE,new,,2026-06-10T19:10:01.492Z,2026-06-21T12:11:12.639Z,3175,90,,2,2,True,,,False,9,https://media-resize.immowebstatic.be/classifieds/7ffd0ac8-9b29-4bbd-a999-0412cdc2ae91/736x736/9941f72e4c26e63c6cb37ea73cb7699c.jpg,INSTALLED,,,SOUTH,,,True,False,False,False,False,False,,,,,False,False,2026-06-27,2026-06-12,2026-06-27,True,,2026-06-27
21633579,https://www.immoweb.be/en/classified/21633579,House for rent in Sint-Amandsberg,850,Jean Béthunestraat 100,9040,Sint-Amandsberg,51.0529322,3.7486509,house,house,for-rent,50,0,,,,,1,,,,,,,,,,,,,Oranjeberg,new,,,2026-06-14T19:18:30.072Z,,,,,,,,,,4,https://media-resize.immowebstatic.be/classifieds/f90e9c87-60cc-4b64-b0a3-81e922e56829/736x736/598f4a4e8fd03d80388dd0d512dc375a.jpg,,,,,,,,,,,,,,,,,,,,2026-06-12,2026-06-15,False,2026-06-20,2026-06-15
