id,url,title,price,address,zip_code,municipality,latitude,longitude,property_type,subtype,transaction_type,living_area_m2,plot_area_m2,garden,garden_area_m2,terrace,terrace_area_m2,bedrooms,bathrooms,epc_score,epc_kwh_m2,construction_year,condition,heating_type,parking_indoor,parking_outdoor,elevator,furnished,flood_zone,cadastral_income,agency,status,old_price,listed_date,last_modified,view_count,bookmark_count,floor,floor_count,facade_count,double_glazing,monthly_costs,heritage_protected,renovation_obligation,photo_count,photo_url,kitchen_type,living_room_m2,garden_orientation,terrace_orientation,balcony,attic,basement,fireplace,swimming_pool,air_conditioning,solar_panels,heat_pump,carbon_emission,toilets,first_occupation,vat_applicable,public_sale,life_annuity,detail_scraped,first_seen,last_seen,active,disappeared_date,scrape_date
21507307,https://www.immoweb.be/en/classified/21507307,House for sale in Gent,,Sint-Denijslaan 457A,9000,Gent,51.0352836,3.6923263,house,house,for-sale,195,592,True,450,,,4,2,,,2025,AS_NEW,,,,False,False,,,Immo Da Vinci,soldOrRented,,,2026-05-21T07:01:00.296Z,,,,,,,,,,4,https://media-resize.immowebstatic.be/classifieds/7256d9b3-2106-44e8-9588-86b58940d3e4/736x736/a7c7ae17ab84260e5fa09359eba41942.jpg,,,,,,,,,,,,,,,,,,,,2026-06-12,2026-06-18,False,2026-06-20,2026-06-18
21640555,https://www.immoweb.be/en/classified/21640555,House for sale in Gent,449000,Boelenaar 29,9031,Gent,51.05295330000001,3.6551537,house,house,for-sale,140,214,,,True,,3,1,C,217,,GOOD,GAS,1,,,False,,589,Hyboma,new,,2026-06-12T15:19:17.407Z,2026-06-12T15:19:21.835Z,1938,12,,,2,True,,,False,4,https://media-resize.immowebstatic.be/classifieds/10857758-d91e-4f24-b1b5-d4cb8f5a96f1/736x736/45da6f295678653f634f84a7eb0a59b6.jpg,INSTALLED,,,,,True,True,False,,,True,,,2,,False,False,False,2026-07-09,2026-06-12,2026-07-13,False,2026-07-14,2026-07-13
21640303,https://www.immoweb.be/en/classified/21640303,House for sale in Gent,322000,Achtermuide 5,9000,Gent,51.0746546,3.7316977,house,house,for-sale,120,80,True,11,True,,4,1,C,248,1900,FIRST_TIME_USED,GAS,1,,False,,,,I-MOOV,under_option,,2026-06-12T14:08:29.387Z,2026-07-16T00:00:46.031Z,1465,12,,3,2,True,,,False,4,https://media-resize.immowebstatic.be/classifieds/b195da7d-75ad-46d8-9254-562b3b2d0a7c/736x736/f58219661b07af5c3c2ebe3da4e1daa7.jpg,,,SOUTH_WEST,,,,,False,,False,False,,,1,,False,False,False,2026-08-22,2026-06-12,2026-08-24,True,,2026-08-24
21640188,https://www.immoweb.be/en/classified/21640188,House for sale in Ledeberg,229000,Frans De Coninckstraat 9,9050,Ledeberg,51.03128479999999,3.7439968,house,house,for-sale,125,80,,,,,4,1,D,372,,TO_RENOVATE,GAS,,,,False,NON_FLOOD_ZONE,,Bordes Merelbeke,new,,2026-06-12T14:01:22.002Z,2026-08-20T18:19:26.227Z,3969,47,,,,True,0,,False,4,https://media-resize.immowebstatic.be/classifieds/c3e9a291-0462-403a-86c8-d157dd22e6b0/736x736/2413bbf632c535ed8df3b8d58a35597f.jpg,SEMI_EQUIPPED,,,,,,,False,,,True,False,,0,,False,False,False,2026-08-22,2026-06-12,2026-08-24,True,,2026-08-24
21640061,https://www.immoweb.be/en/classified/21640061,House for sale in GENTBRUGGE,289000,Auguste Van Ooststraat 51,9050,GENTBRUGGE,51.0447199,3.746271399999999,house,house,for-sale,75,46,,,,,2,1,E,490,1900,,GAS,,,False,False,NON_FLOOD_ZONE,213,de Fooz,new,,2026-06-12T13:41:22.565Z,2026-08-13T17:35:28.882Z,1774,16,,2,3,True,,,True,4,https://media-resize.immowebstatic.be/classifieds/28cfc4b3-78b7-47cc-9465-fddbd7b98cd1/736x736/035c562c8396e4b8c9188fbcde720626.jpg,SEMI_EQUIPPED,25,,,,True,,False,False,False,False,False,,1,,False,False,False,2026-08-22,2026-06-12,2026-08-24,True,,2026-08-24
21639687,https://www.immoweb.be/en/classified/21639687,House for sale in Gent,399000,Lorkenstraat 44,9000,Gent,51.06644439999999,3.7066847,house,house,for-sale,136,112,,,,,3,1,C,287,1899,,GAS,1,,False,False,NON_FLOOD_ZONE,366,ERA Wonen Gent,new,,2026-06-12T12:19:30.762Z,2026-06-29T08:04:40.723Z,1040,10,,,2,True,,,,4,https://media-resize.immowebstatic.be/classifieds/8baf7857-aa06-41a8-89ea-ca6cd1a23ed3/736x736/9f307ef44a1e9e6a872cdb2e2d0190a4.jpg,,,,,,,True,False,False,,False,False,,,,False,False,False,2026-06-20,2026-06-12,2026-06-29,False,2026-06-30,2026-06-29
21639632,https://www.immoweb.be/en/classified/21639632,House for sale in Gent,389000,Greenockstraat 18,9000,Gent,51.0796195,3.7300417,house,house,for-sale,136,104,,,,,3,1,B,161,1967,AS_NEW,GAS,,,False,,NON_FLOOD_ZONE,,PRIVATE,new,,2026-06-12T12:08:24.527Z,2026-06-17T15:26:43.566Z,2426,27,,1,1,True,,,False,4,https://media-resize.immowebstatic.be/classifieds/32ac201d-f04b-45f0-bd66-8da8f2c0d7fe/736x736/cb4e9c6176bb3abac2445d7db215977d.jpg,,,,,,True,,False,False,True,False,True,,1,,False,False,False,2026-06-20,2026-06-12,2026-06-22,False,2026-06-23,2026-06-22
21639568,https://www.immoweb.be/en/classified/21639568,House for sale in Mariakerke,549000,Hooiland 1,9030,Mariakerke,51.0818597,3.6729938,house,house,for-sale,142,795,True,630,True,,4,1,D,345,1977,TO_BE_DONE_UP,GAS,1,,False,,,1705,TOP Vastgoed,new,,2026-06-12T12:03:28.437Z,2026-07-16T00:00:27.034Z,2717,38,,2,4,True,,,False,4,https://media-resize.immowebstatic.be/classifieds/f54bb126-b8a9-4261-b314-d098a29b6011/736x736/2008b78af89656b8771001681d30d128.jpg,INSTALLED,,,,,,,False,False,,,,,2,,False,False,False,2026-07-09,2026-06-12,2026-07-16,False,2026-07-17,2026-07-16
21639537,https://www.immoweb.be/en/classified/21639537,Mixed_use_building for sale in Gent,349000,Gangmakersstraat 16,9000,Gent,51.0358483,3.7268828,house,mixed_use_building,for-sale,61,30,,,,,3,1,C,215,,GOOD,GAS,,,,False,NON_FLOOD_ZONE,317,Immo T,new,,2026-06-12T12:02:04.125Z,2026-07-12T18:29:31.562Z,983,4,,,,True,0,,False,4,https://media-resize.immowebstatic.be/classifieds/e9c213e5-0630-4835-8eaa-221f326736ec/736x736/fb4f19072e2d673d988bf969313650ba.jpg,,,,,,,,False,,,False,False,,2,,False,False,False,2026-07-10,2026-06-12,2026-07-14,False,2026-07-15,2026-07-14
21639399,https://www.immoweb.be/en/classified/21639399,House for sale in GENT,595000,Plotersgracht 30,9000,GENT,51.0582501,3.7230446,house,house,for-sale,161,71,,,,,2,1,E,454,,,GAS,,,False,False,NON_FLOOD_ZONE,923,IMMO-EDEN,new,,2026-06-12T11:54:41.460Z,2026-08-04T09:46:50.263Z,702,2,,,,True,,YES,True,4,https://media-resize.immowebstatic.be/classifieds/5b872b4d-5123-48fa-bcbf-93ab1e02bd05/736x736/0861774ea20a3926913be431d7e3c96f.jpg,NOT_INSTALLED,,,,,,True,True,False,False,False,False,,2,,False,False,False,2026-08-23,2026-06-12,2026-08-24,True,,2026-08-24
